ID,Signal
P19003_Bioclone_1,-0.6679018
P19003_Bioclone_2,-0.6169208
P19003_Bioclone_3,-0.7300973
P19003_Bioclone_4,1.5073972
P19003_Bioclone_5,0.4466601
P19003_Bioclone_6,0.43242696
P19003_Bioclone_7,-0.11464481
P19003_Bioclone_8,0.24565563
P19003_Bioclone_9,1.3961337
P19003_Bioclone_10,1.4648123
P19003_Bioclone_11,1.6962987
P19003_Bioclone_12,1.1499184
P19003_Bioclone_13,0.707173
P19003_Bioclone_14,0.64996815
P19003_Bioclone_15,-0.051376257
P19003_Bioclone_16,-0.049458865
P19003_Bioclone_17,0.11958516
P19003_Bioclone_18,-0.80392337
P19003_Bioclone_19,-0.858834
P19003_Bioclone_20,-0.45356548
P19003_Bioclone_21,-0.658435
P19003_Bioclone_22,-0.1896973
P19003_Bioclone_23,0.007494498
P19003_Bioclone_24,1.071475
P19003_Bioclone_25,0.7720384
P19003_Bioclone_26,0.57147807
P19003_Bioclone_27,0.60232836
P19003_Bioclone_28,0.16885433
P19003_Bioclone_29,-0.0045022257
P19003_Bioclone_30,0.09378221
P19003_Bioclone_31,-0.40915132
P19003_Bioclone_32,-0.43017992
P19003_Bioclone_33,-0.3052034
P19003_Bioclone_34,-0.38870654
P19003_Bioclone_35,-0.3898076
P19003_Bioclone_36,-0.39635098
P19003_Bioclone_37,0.61397964
P19003_Bioclone_38,0.85342366
P19003_Bioclone_39,0.33175647
P19003_Bioclone_40,-0.28929064
P19003_Bioclone_41,-0.39611834
P19003_Bioclone_42,-0.039473157
P19003_Bioclone_43,0.5451639
P19003_Bioclone_44,-0.059669126
P19003_Bioclone_45,1.6199559
P19003_Bioclone_46,0.08691804
P19003_Bioclone_47,-0.46860725
P19003_Bioclone_48,-0.42850527
P19003_ICP_1,0.15003422
P19003_ICP_2,0.6474528
P19003_ICP_3,0.58990175
P19003_ICP_4,1.4911131
P19003_ICP_5,1.2022105
P19003_ICP_6,1.3500936
P19003_ICP_7,1.1040717
P19003_ICP_8,1.1962802
P19003_ICP_9,1.4817263
P19003_ICP_10,1.911126
P19003_ICP_11,1.8046942
P19003_ICP_12,1.7412345
P19003_ICP_13,0.9892515
P19003_ICP_14,1.1869086
P19003_ICP_15,0.6621973
P19003_ICP_16,1.0844504
P19003_ICP_17,0.9222367
P19003_ICP_18,0.08257151
P19003_ICP_19,-0.28387785
P19003_ICP_20,-0.061426084
P19003_ICP_21,-0.6046357
P19003_ICP_22,-0.1610251
P19003_ICP_23,-0.2891077
P19003_ICP_24,-0.35787326
P19003_ICP_25,-0.5198712
P19003_ICP_26,-0.12870263
P19003_ICP_27,0.13862868
P19003_ICP_28,0.2475103
P19003_ICP_29,0.8667559
P19003_ICP_30,0.5538049
