ID,Signal
P19003_Bioclone_1,-0.84644496
P19003_Bioclone_2,-0.6449976
P19003_Bioclone_3,-0.652197
P19003_Bioclone_4,1.6641091
P19003_Bioclone_5,0.63625777
P19003_Bioclone_6,1.761814
P19003_Bioclone_7,0.24735925
P19003_Bioclone_8,1.7526474
P19003_Bioclone_9,1.143212
P19003_Bioclone_10,1.4990381
P19003_Bioclone_11,1.2990974
P19003_Bioclone_12,1.4718238
P19003_Bioclone_13,0.68809223
P19003_Bioclone_14,-0.26962847
P19003_Bioclone_15,-0.7013736
P19003_Bioclone_16,-0.6660769
P19003_Bioclone_17,-0.40872487
P19003_Bioclone_18,-0.8502487
P19003_Bioclone_19,-0.7326199
P19003_Bioclone_20,-0.12714449
P19003_Bioclone_21,-0.16929188
P19003_Bioclone_22,-0.003285728
P19003_Bioclone_23,0.31448045
P19003_Bioclone_24,0.22858435
P19003_Bioclone_25,0.26020032
P19003_Bioclone_26,0.5789596
P19003_Bioclone_27,1.6916761
P19003_Bioclone_28,1.1778419
P19003_Bioclone_29,1.0809103
P19003_Bioclone_30,0.40294015
P19003_Bioclone_31,-0.17190786
P19003_Bioclone_32,-0.3855301
P19003_Bioclone_33,0.020039976
P19003_Bioclone_34,0.14307126
P19003_Bioclone_35,-0.46249446
P19003_Bioclone_36,-0.31738284
P19003_Bioclone_37,0.55268145
P19003_Bioclone_38,0.56253314
P19003_Bioclone_39,0.18436807
P19003_Bioclone_40,-0.30148667
P19003_Bioclone_41,-0.15329018
P19003_Bioclone_42,0.8226925
P19003_Bioclone_43,1.0983583
P19003_Bioclone_44,1.175508
P19003_Bioclone_45,2.0250177
P19003_Bioclone_46,0.6516218
P19003_Bioclone_47,-0.54083157
P19003_Bioclone_48,-0.5561578
P19003_ICP_1,-0.07966541
P19003_ICP_2,0.3749358
P19003_ICP_3,0.3673607
P19003_ICP_4,1.2290853
P19003_ICP_5,1.1746997
P19003_ICP_6,1.4593246
P19003_ICP_7,1.049768
P19003_ICP_8,1.3833122
P19003_ICP_9,1.565897
P19003_ICP_10,2.3612084
P19003_ICP_11,1.9612379
P19003_ICP_12,2.28421
P19003_ICP_13,1.5102768
P19003_ICP_14,1.7127627
P19003_ICP_15,1.3553324
P19003_ICP_16,1.6320816
P19003_ICP_17,1.6148115
P19003_ICP_18,0.018991277
P19003_ICP_19,-0.16716972
P19003_ICP_20,-0.005130805
P19003_ICP_21,-0.70368123
P19003_ICP_22,-0.3136381
P19003_ICP_23,-0.40493423
P19003_ICP_24,-0.38312185
P19003_ICP_25,-0.49710178
P19003_ICP_26,-0.34409785
P19003_ICP_27,0.36010224
P19003_ICP_28,0.37966266
P19003_ICP_29,0.45398915
P19003_ICP_30,0.7356237
P19003_ICP_31,0.29583746
P19003_ICP_32,0.4139499
P19003_ICP_33,0.5299493
P19003_ICP_34,1.2092826
P19003_ICP_35,0.993186
P19003_ICP_36,0.123110235
P19003_ICP_37,-0.009425489
P19003_ICP_38,-0.37556133
P19003_ICP_39,-0.3054566
P19003_ICP_40,-0.39084032
P19003_ICP_41,-0.310931
P19003_ICP_42,-0.04172419
P19003_ICP_43,-0.18428534
P19003_ICP_44,0.13439229
P19003_ICP_45,0.57091665
P19003_ICP_46,0.63119066
P19003_ICP_47,0.68099177
P19003_ICP_48,0.29517323
P19003_Inosan_1,-0.015857624
P19003_Inosan_2,0.49705127
P19003_Inosan_3,0.12284985
P19003_Inosan_4,1.784135
P19003_Inosan_5,1.2377142
P19003_Inosan_6,2.0720048
P19003_Inosan_7,1.6328306
P19003_Inosan_8,1.7396624
P19003_Inosan_9,2.6927004
P19003_Inosan_10,3.1062057
P19003_Inosan_11,3.0810838
P19003_Inosan_12,2.8792553
P19003_Inosan_13,3.138529
P19003_Inosan_14,2.7567465
P19003_Inosan_15,2.0814102
P19003_Inosan_16,1.7870477
P19003_Inosan_17,2.2511082
P19003_Inosan_18,0.84826386
P19003_Inosan_19,0.61879873
P19003_Inosan_20,0.8230876
P19003_Inosan_21,-0.25718665
P19003_Inosan_22,-0.36858135
P19003_Inosan_23,-0.12721367
P19003_Inosan_24,-0.066856414
P19003_Inosan_25,0.13835347
P19003_Inosan_26,0.37443745
P19003_Inosan_27,1.3022193
P19003_Inosan_28,0.79282546
P19003_Inosan_29,0.43926483
P19003_Inosan_30,0.97504115
P19003_Inosan_31,1.1732183
P19003_Inosan_32,1.2179116
P19003_Inosan_33,1.897722
P19003_Inosan_34,1.6237289
P19003_Inosan_35,1.3378533
P19003_Inosan_36,0.7857394
P19003_Inosan_37,1.5165339
P19003_Inosan_38,0.83463085
P19003_Inosan_39,0.4419786
P19003_Inosan_40,-0.35687953
P19003_Inosan_41,-0.20470218
P19003_Inosan_42,0.26081958
P19003_Inosan_43,0.6355823
P19003_Inosan_44,0.77828705
P19003_Inosan_45,1.583579
P19003_Inosan_46,1.159001
P19003_Inosan_47,1.1327165
P19003_Inosan_48,0.36860278
P19003_Premium_1,-0.11703231
P19003_Premium_2,0.03430938
P19003_Premium_3,0.25174788
P19003_Premium_4,1.9107244
P19003_Premium_5,1.1697538
P19003_Premium_6,1.3515993
P19003_Premium_7,0.7177241
P19003_Premium_8,1.4241114
P19003_Premium_9,1.9392111
P19003_Premium_10,2.334653
P19003_Premium_11,2.4803188
P19003_Premium_12,2.5016758
P19003_Premium_13,2.4131644
P19003_Premium_14,1.9167867
P19003_Premium_15,1.6778294
P19003_Premium_16,1.2484668
P19003_Premium_17,1.4375114
P19003_Premium_18,1.1793222
P19003_Premium_19,0.8311207
P19003_Premium_20,0.9071747
P19003_Premium_21,0.21285419
P19003_Premium_22,0.87580276
P19003_Premium_23,0.73110116
P19003_Premium_24,0.41995376
P19003_Premium_25,0.44901288
P19003_Premium_26,0.44993308
P19003_Premium_27,0.80369306
P19003_Premium_28,0.5276438
P19003_Premium_29,0.031861417
P19003_Premium_30,0.061416388
P19003_Premium_31,0.57499564
P19003_Premium_32,0.6690843
P19003_Premium_33,0.9755076
P19003_Premium_34,1.2495185
P19003_Premium_35,0.97640204
P19003_Premium_36,0.7844459
P19003_Premium_37,2.5220885
P19003_Premium_38,2.1142266
P19003_Premium_39,1.5050834
P19003_Premium_40,0.8106438
